姓名,2015,2016,2017,2018
程雪,90.0,97.0,70.0,190 亿
蒋卫平家族,,,-85.0,190 亿
缪汉根,50.0,45.0,5.0,190 亿
吴旭家族,130.0,-10.0,10.0,190 亿
吴志刚家族,,45.0,65.0,190 亿
徐宇,,,,190 亿
朱共山家族,,-70.0,-10.0,190 亿
顾江生家族,,,20.0,185 亿
黄柏年,,,,185 亿
李西廷,,,,185 亿
林中家族,,,15.0,185 亿
张志祥,0.0,30.0,20.0,185 亿
郑跃文,-295.0,-75.0,-25.0,185 亿
陈志列、王蓉夫妇,,97.0,5.0,180 亿
程维,115.0,50.0,15.0,180 亿
黄朝阳,90.0,55.0,5.0,180 亿
黄世霖,,,,180 亿
李辙,40.0,20.0,-15.0,180 亿
尚吉永,136.0,110.0,30.0,180 亿
沈天晴,,,125.0,180 亿
肖永明家族,,-85.0,-30.0,180 亿
陈爱莲、吴良定夫妇,,,-90.0,175 亿
季琦,125.0,123.0,30.0,175 亿
张帆,,,-30.0,175 亿
梁允超家族,25.0,55.0,40.0,170 亿
任正非,90.0,45.0,40.0,170 亿
王麒诚、吴艳夫妇,25.0,-75.0,-95.0,170 亿
易如波,78.0,70.0,10.0,170 亿
左晖,,60.0,0.0,170 亿
董伟,,,65.0,170 亿
杜江涛、郝虹夫妇,-140.0,-50.0,-100.0,165 亿
黄敏利、许慧卿夫妇,60.0,15.0,-15.0,165 亿
贾天将、东菊凤夫妇,,110.0,5.0,165 亿
李贤义、董系治夫妇,70.0,35.0,15.0,165 亿
潘伟明,10.0,-15.0,-20.0,165 亿
吴忌寒,,,,165 亿
林刚,65.0,50.0,5.0,165 亿
曾芳勤,,,,160 亿
杜伟民,,,87.0,160 亿
高天国,-10.0,0.0,-110.0,160 亿
葛卫东,20.0,40.0,10.0,160 亿
黄巧灵家族,15.0,20.0,25.0,160 亿
李留法、李凤娈夫妇,90.0,100.0,75.0,160 亿
林定强、林凤英夫妇,,40.0,20.0,160 亿
刘忠田,40.0,5.0,-20.0,160 亿
陆地,,,30.0,160 亿
茅理翔家族,95.0,35.0,30.0,160 亿
许连捷,-10.0,5.0,10.0,160 亿
俞敏洪,90.0,35.0,0.0,160 亿
钟玉,68.0,50.0,-10.0,160 亿
安康家族,-15.0,-50.0,15.0,155 亿
黄世再家族,20.0,5.0,5.0,155 亿
蒋业华、蒋宇父子,62.0,45.0,20.0,155 亿
施文博,-20.0,-5.0,10.0,155 亿
孙珩超,110.0,95.0,40.0,155 亿
钟声坚,55.0,35.0,-15.0,155 亿
林明樟,,40.0,5.0,150 亿
刘炽平,,,30.0,150 亿
南存辉,25.0,30.0,30.0,150 亿
宿华,,,,150 亿
张秀根、张宏亮父子,45.0,45.0,30.0,150 亿
赵长鹏,,,,150 亿
吴羽岚,99.0,92.0,55.0,150 亿
姜滨、胡双美夫妇,-110.0,-60.0,-160.0,145 亿
李思廉,,,,145 亿
刘志强、翟美卿夫妇,5.0,-10.0,-10.0,145 亿
陆昂,,,15.0,145 亿
谭炳照家族,,30.0,15.0,145 亿
薛向东家族,-65.0,-15.0,-15.0,145 亿
曹德旺,40.0,30.0,0.0,140 亿
陈鸿道,-20.0,-40.0,-20.0,140 亿
陈凯旋,70.0,20.0,10.0,140 亿
苏素玉家族,,20.0,-30.0,140 亿
汪立平家族,50.0,81.0,45.0,140 亿
谢嘉,,,25.0,140 亿
徐冠巨,5.0,-85.0,-60.0,140 亿
张大中,20.0,15.0,25.0,140 亿
朱兴良家族,-40.0,-5.0,-10.0,140 亿
陈峰,,,-15.0,135 亿
高云峰,40.0,53.0,15.0,135 亿
黄壮勉,0.0,30.0,15.0,135 亿
罗韶宇、赵洁红夫妇,-115.0,-45.0,-40.0,135 亿
苏志刚,80.0,60.0,15.0,135 亿
王华君、吴兰兰夫妇,,,-50.0,135 亿
王勇、王棣父子,,,15.0,135 亿
徐乘家族,,,,135 亿
虞松波,20.0,15.0,10.0,135 亿
朱志平,15.0,25.0,15.0,135 亿
钱东奇家族,,,,135 亿
陈卓林、陆倩芳夫妇,,,10.0,130 亿
高德康、梅冬夫妇,45.0,45.0,30.0,130 亿
龚俊龙,,,-45.0,130 亿
孔健岷,48.0,46.0,40.0,130 亿
赖海民,72.0,15.0,-60.0,130 亿
刘冬生、张宁夫妇,,,,130 亿
罗玉平,-70.0,5.0,0.0,130 亿
米恩华,45.0,25.0,15.0,130 亿
孙纪木家族,,,,130 亿
王希成家族,40.0,-90.0,-25.0,130 亿
文一波、张辉明夫妇,-40.0,-10.0,-25.0,130 亿
杨铿,-15.0,-5.0,-15.0,130 亿
虞锋,30.0,-40.0,20.0,130 亿
李斌,,,58.0,125 亿
李非列家族,,15.0,15.0,125 亿
史正富、翟立夫妇,45.0,35.0,25.0,125 亿
孙清焕,-30.0,-10.0,-10.0,125 亿
涂建华,-30.0,-30.0,-35.0,125 亿
吴尚志,54.0,25.0,10.0,125 亿
杨贰珠,,,0.0,125 亿
俞熔,,58.0,49.0,125 亿
张轩松,10.0,45.0,-5.0,125 亿
周永利,,20.0,15.0,125 亿
岑钊雄、李一萍夫妇,81.0,70.0,39.0,120 亿
陈大年,56.0,40.0,30.0,120 亿
李洪信,48.0,53.0,10.0,120 亿
林亿,-90.0,-110.0,-220.0,120 亿
刘学景家族,25.0,15.0,0.0,120 亿
裴振华、容建芬夫妇,,,,120 亿
彭国远,,,,120 亿
荣智健,20.0,25.0,20.0,120 亿
谭思亮,,,,120 亿
唐岩、张思川夫妇,,,-20.0,120 亿
万隆,65.0,45.0,20.0,120 亿
王树生,25.0,20.0,10.0,120 亿
吴凯庭家族,81.0,,,120 亿
徐观宝,10.0,-65.0,-45.0,120 亿
薛光林,-45.0,-35.0,-30.0,120 亿
叶成,56.0,53.0,53.0,120 亿
昝圣达,-60.0,-45.0,-25.0,120 亿
朱文臣,15.0,40.0,35.0,120 亿
刘革新,40.0,55.0,55.0,120 亿
曾令山,,30.0,5.0,115 亿
贺正刚,-55.0,5.0,0.0,115 亿
黄毅,,70.0,-10.0,115 亿
林腾蛟,,70.0,,115 亿
林印孙,40.0,-5.0,-40.0,115 亿
刘玉华、赵燕夫妇,,-95.0,-35.0,115 亿
吕慧、陈宁宁母女,30.0,40.0,15.0,115 亿
任建华,35.0,-5.0,-50.0,115 亿
王苗通、王一峰父子,62.0,55.0,10.0,115 亿
魏奇、魏潇父女,5.0,5.0,0.0,115 亿
吴冠江,71.0,59.0,59.0,115 亿
肖文慧,48.0,48.0,-10.0,115 亿
谢伟通,,,,115 亿
杨建新、樊梅花夫妇,45.0,25.0,-16.0,115 亿
姚奎章,,,,115 亿
袁富根家族,5.0,23.0,-15.0,115 亿
张万镇,35.0,38.0,15.0,115 亿
周剑,,,25.0,115 亿
雷菊芳,-5.0,10.0,-5.0,115 亿
姜伟家族,-100.0,-105.0,-55.0,110 亿
陈荣家族,-50.0,-10.0,-10.0,110 亿
傅光明家族,0.0,-40.0,10.0,110 亿
胡扬忠,,68.0,15.0,110 亿
黄红云、陶虹遐夫妇,-10.0,14.0,0.0,110 亿
李新炎、倪银英夫妇,46.0,49.0,15.0,110 亿
刘绍喜家族,-80.0,-25.0,-10.0,110 亿
阮水龙家族,-30.0,-10.0,-20.0,110 亿
史贵禄家族,54.0,35.0,10.0,110 亿
王瀚,,-10.0,0.0,110 亿
王均金家族,-160.0,-5.0,5.0,110 亿
王俊,,,55.0,110 亿
王燕清、倪亚兰夫妇,46.0,30.0,-35.0,110 亿
温鹏程家族,60.0,-30.0,10.0,110 亿
严健军,20.0,20.0,0.0,110 亿
张宝全、王秋扬夫妇,45.0,30.0,10.0,110 亿
张道才家族,35.0,40.0,-15.0,110 亿
郑永刚,35.0,20.0,-10.0,110 亿
周耀庭家族,-30.0,-70.0,20.0,110 亿
周镇科,,-2.0,0.0,110 亿
黄联禧、左笑萍夫妇,-15.0,0.0,-10.0,105 亿
焦震,43.0,38.0,10.0,105 亿
柯希平,25.0,19.0,5.0,105 亿
黎旭晖,,,,105 亿
齐向东,58.0,40.0,30.0,105 亿
郁国祥,25.0,55.0,35.0,105 亿
张静章家族,25.0,37.0,-45.0,105 亿
张耀垣,63.0,,0.0,105 亿
杨文龙家族,15.0,20.0,59.0,105 亿
徐曙光,,,,105 亿
吴以岭家族,-15.0,-10.0,-40.0,100 亿
蔡东青家族,-150.0,-125.0,-40.0,100 亿
蔡荣军,35.0,23.0,-15.0,100 亿
陈建铭,35.0,25.0,0.0,100 亿
陈清州、翁丽敏夫妇,7.0,-15.0,-50.0,100 亿
陈一丹,,30.0,20.0,100 亿
崔志祥,20.0,20.0,15.0,100 亿
段永平,,93.0,20.0,100 亿
何建梁,,12.0,0.0,100 亿
何小鹏,,,,100 亿
黄达文,,,,100 亿
黄俊康家族,15.0,18.0,0.0,100 亿
姜雪飞、朱雪花夫妇,,,15.0,100 亿
梁光伟,-15.0,-5.0,-5.0,100 亿
梁建坤、梁杰父子,,,50.0,100 亿
梁亮胜,30.0,25.0,0.0,100 亿
牛宜顺、牛腾父子,,,-15.0,100 亿
欧宗洪家族,,,,100 亿
綦建虹,20.0,-30.0,-60.0,100 亿
邵钦祥家族,40.0,25.0,20.0,100 亿
沈汉标、王妙玉夫妇,0.0,19.0,27.0,100 亿
苏萌,20.0,15.0,5.0,100 亿
涂辉龙,44.0,30.0,14.0,100 亿
汪建,,,-35.0,100 亿
王靖,-380.0,-130.0,-110.0,100 亿
徐明星,,,,100 亿
徐新,35.0,20.0,10.0,100 亿
许健康家族,,50.0,15.0,100 亿
叶国富,,48.0,20.0,100 亿
叶立培家族,0.0,5.0,0.0,100 亿
尹明善家族,,,-25.0,100 亿
应建仁、徐美儿夫妇,,,-40.0,100 亿
虞仁荣,,,40.0,100 亿
张胜飞,,,0.0,100 亿
张涛,,40.0,10.0,100 亿
张小龙,,,,100 亿
张永平,,,0.0,100 亿
张章笋,-20.0,10.0,15.0,100 亿
钟乃雄,,-5.0,13.0,100 亿
蔡红兵,,,38.0,100 亿
曾宝宝,31.0,15.0,18.0,95 亿
陈士良,38.0,49.0,40.0,95 亿
陈夏鑫家族,10.0,-10.0,-30.0,95 亿
楚金甫,0.0,-25.0,-15.0,95 亿
董凡,,-45.0,37.0,95 亿
洪锋,,,,95 亿
黄江吉,,,,95 亿
黄曦家族,-20.0,-25.0,-20.0,95 亿
黎万强,,,,95 亿
李力,53.0,45.0,50.0,95 亿
李良彬,,32.0,-35.0,95 亿
梁丰、邵晓梅夫妇,,,,95 亿
林建华、张虹夫妇,-45.0,-65.0,-5.0,95 亿
刘学斌,35.0,37.0,38.0,95 亿
陆正耀,,20.0,5.0,95 亿
区学铭,,,1.0,95 亿
宋卫平、夏一波夫妇,40.0,25.0,10.0,95 亿
汪群斌,7.0,17.0,-15.0,95 亿
文剑平,-35.0,-35.0,-50.0,95 亿
徐朋明,40.0,20.0,5.0,95 亿
张荣华家族,25.0,35.0,10.0,95 亿
张跃、赖玉静夫妇,5.0,-5.0,5.0,95 亿
赵小强,15.0,5.0,15.0,95 亿
郑建明,-35.0,-20.0,-5.0,95 亿
周庆治、赵亦斓夫妇,0.0,-10.0,-5.0,95 亿
胡柏藩,30.0,10.0,20.0,95 亿
刘伟,23.0,25.0,-2.0,93 亿
周国辉,-197.0,-37.0,-7.0,93 亿
黄绍武,-8.0,-38.0,-23.0,92 亿
田明,-58.0,-6.0,12.0,92 亿
刘殿波,10.0,42.0,32.0,92 亿
黄康境,,24.0,24.0,91 亿
苏汝波,,,0.0,91 亿
曾继疆家族,,,,90 亿
陈妙林,15.0,10.0,5.0,90 亿
戴永革家族,-55.0,-5.0,0.0,90 亿
丁佐宏,,,45.0,90 亿
胡克勤,,,,90 亿
景百孚,-10.0,-60.0,-25.0,90 亿
李家权家族,,,-10.0,90 亿
李军,35.0,0.0,-15.0,90 亿
李卫国,0.0,5.0,-35.0,90 亿
倪祖根家族,-85.0,-40.0,-75.0,90 亿
徐旭东、徐若桐父女,,,-45.0,90 亿
俞发祥,42.0,23.0,20.0,90 亿
张桂平、张康黎父子,-115.0,-100.0,-30.0,90 亿
张双旺家族,,,10.0,90 亿
周成建家族,-175.0,-30.0,-20.0,90 亿
王俊民、申萍夫妇,,,,90 亿
周宗文家族,,,-2.0,88 亿
马瑞敏、马艺芯母女,,,,85 亿
蔡宏柱,34.0,18.0,5.0,85 亿
蔡文胜,,,-100.0,85 亿
陈德军,5.0,-5.0,-45.0,85 亿
陈国祥,38.0,30.0,25.0,85 亿
陈锦石家族,-5.0,-40.0,-15.0,85 亿
崔维星,,15.0,0.0,85 亿
党彦宝,,,0.0,85 亿
侯昌财,0.0,0.0,0.0,85 亿
黄关林,,,37.0,85 亿
李平,25.0,25.0,25.0,85 亿
李如成,-60.0,-50.0,-35.0,85 亿
林龙安、郭英兰夫妇,,25.0,-25.0,85 亿
潘来灿,42.0,43.0,32.0,85 亿
邵根伙,-35.0,-75.0,-40.0,85 亿
盛百椒,5.0,10.0,0.0,85 亿
宋文广,,18.0,0.0,85 亿
汪建国,35.0,30.0,15.0,85 亿
汪俊林,20.0,11.0,11.0,85 亿
汪林朋,,,,85 亿
王子华,41.0,18.0,0.0,85 亿
邬建树,-40.0,-60.0,-60.0,85 亿
吴少勋,18.0,10.0,0.0,85 亿
吴向东,34.0,22.0,5.0,85 亿
张波,,35.0,5.0,85 亿
张克强,29.0,26.0,16.0,85 亿
周晓萍家族,34.0,15.0,10.0,85 亿
庄奎龙家族,,,-15.0,85 亿
岑均达,,,35.0,85 亿
娄竞、邢丽莉夫妇,,,,85 亿
黄小芬,,,12.0,83 亿
李振国、李喜燕夫妇,27.0,16.0,-7.0,83 亿
梁社增、梁家荣父子,,25.0,26.0,83 亿
卓军,,,,83 亿
夏佐全,2.0,7.0,2.0,82 亿
刘宝林,-64.0,-39.0,-19.0,81 亿
何朝曦,,,,81 亿
李国强,,,6.0,81 亿
张亿贵,,,6.0,81 亿
车冯升,-55.0,15.0,-25.0,80 亿
方同华家族,-75.0,-50.0,-20.0,80 亿
Dan Friis,,,,80 亿
陈湖文,22.0,30.0,33.0,80 亿
陈润光、陈健明父子,35.0,5.0,0.0,80 亿
陈小英,,-5.0,-40.0,80 亿
陈雪华,,,10.0,80 亿
戴皓,20.0,5.0,-5.0,80 亿
耿殿根,-45.0,-20.0,10.0,80 亿
何旗,,,,80 亿
黄向墨,16.0,18.0,13.0,80 亿
李晓林,25.0,10.0,5.0,80 亿
刘振东,0.0,-5.0,-10.0,80 亿
马成喜,,20.0,0.0,80 亿
穆荣均,,,,80 亿
彭建虎、彭俊珩父子,,5.0,-15.0,80 亿
彭建华家族,,,,80 亿
沈小平家族,-20.0,-30.0,-10.0,80 亿
孙孟全家族,5.0,8.0,10.0,80 亿
汪超涌家族,,,,80 亿
王东海、王雅倩父女,,13.0,-5.0,80 亿
王建沂,22.0,25.0,13.0,80 亿
许达来,,,,80 亿
杨绍鹏,29.0,13.0,-15.0,80 亿
应书岭,40.0,2.0,0.0,80 亿
张志勇、张敏夫妇,,20.0,25.0,80 亿
朱敏、徐郁清夫妇,16.0,13.0,5.0,80 亿
苗拥军,,,30.0,80 亿
叶小平,35.0,37.0,,80 亿
马鸿、黄晓旋夫妇,-81.0,-51.0,-61.0,79 亿
薛华,14.0,16.0,6.0,79 亿
周奕丰,-61.0,-21.0,-26.0,79 亿
陈湖雄,24.0,29.0,32.0,78 亿
张松桥,28.0,21.0,11.0,78 亿
冯小华,-13.0,-9.0,2.0,77 亿
李缜家族,-38.0,-63.0,-48.0,77 亿
刘沧龙,-28.0,-23.0,-8.0,77 亿
俞金坤、戈建鸣父子,,,,76 亿
程先锋,,-5.0,-50.0,75 亿
包松安,,,0.0,75 亿
薄世久、李桂屏夫妇,,-105.0,-30.0,75 亿
仇建平、王玲玲夫妇,-30.0,-25.0,-35.0,75 亿
傅梅城,-80.0,-50.0,-30.0,75 亿
江南,10.0,0.0,4.0,75 亿
靳保芳,0.0,3.0,10.0,75 亿
刘福海,10.0,0.0,5.0,75 亿
邱建林,,,27.0,75 亿
邱祥娟,,,28.0,75 亿
邱奕博,,,27.0,75 亿
茹伯兴、茹正伟父子,20.0,20.0,0.0,75 亿
王步峰,-5.0,3.0,0.0,75 亿
王均豪,-15.0,-10.0,0.0,75 亿
吴绪顺家族,-45.0,-40.0,-60.0,75 亿
夏鼎湖,-18.0,-25.0,-15.0,75 亿
许晨晔,,,,75 亿
杨爱华家族,29.0,7.0,5.0,75 亿
姚劲波,22.0,8.0,7.0,75 亿
余海军,25.0,17.0,5.0,75 亿
张轩宁,5.0,25.0,0.0,75 亿
周金辉,,,5.0,75 亿
周云杰,-55.0,-55.0,5.0,75 亿
左宗申、袁德秀夫妇,,,-5.0,75 亿
陆克平家族,-15.0,-5.0,-5.0,75 亿
彭浩,30.0,29.0,-12.0,74 亿
张思民、王劲松夫妇,23.0,-7.0,-12.0,73 亿
蔡小如,15.0,-11.0,-9.0,73 亿
严玉德,,,,73 亿
易峥,-62.0,-67.0,-32.0,73 亿
陈学利,,18.0,-3.0,72 亿
刘冀鲁、刘凌云父女,,,5.0,72 亿
吕永祥家族,-3.0,5.0,2.0,72 亿
朱兴明,8.0,17.0,3.0,72 亿
黄立家族,-99.0,-44.0,-11.0,71 亿
韩旭、张仁华夫妇,-15.0,-12.0,-15.0,70 亿
蒋锡培、蒋承志父子,,,,70 亿
陈建成、陈嫣妮父女,-45.0,-25.0,-10.0,70 亿
邓鸿,20.0,15.0,10.0,70 亿
刁志中,13.0,,25.0,70 亿
顾伟,-35.0,-13.0,-16.0,70 亿
郭梓文,,,,70 亿
韩国龙家族,-5.0,-5.0,-30.0,70 亿
韩真发,,,3.0,70 亿
何著胜家族,-25.0,-15.0,-5.0,70 亿
江黎明,22.0,17.0,3.0,70 亿
李林,,,,70 亿
李喜朋、舒蒲娟夫妇,17.0,9.0,0.0,70 亿
李笑来,,,,70 亿
林荣滨、程璇夫妇,,,,70 亿
刘江,,,,70 亿
楼忠福家族,-90.0,-15.0,-5.0,70 亿
卢生举,,-35.0,-15.0,70 亿
陆兆禧,10.0,-25.0,,70 亿
罗运刚,,,17.0,70 亿
潘刚,25.0,20.0,10.0,70 亿
彭蕾,10.0,-25.0,-330.0,70 亿
戚金兴、戚加奇父子,-70.0,-35.0,-25.0,70 亿
裘国根、骆奕夫妇,-5.0,-5.0,0.0,70 亿
沈波,,,,70 亿
石克荣,,,10.0,70 亿
寿柏年,27.0,18.0,5.0,70 亿
唐宁,,10.0,5.0,70 亿
王刚,,,3.0,70 亿
王佳、严立夫妇,-35.0,-15.0,-10.0,70 亿
王文城家族,5.0,5.0,5.0,70 亿
王正华、王煜父子,-60.0,-35.0,0.0,70 亿
项光明、王素勤夫妇,-12.0,12.0,15.0,70 亿
谢菊华、唐咏群母子,,,,70 亿
熊武,,,,70 亿
徐子泉、康宁夫妇,-50.0,-55.0,-32.0,70 亿
许树根,23.0,27.0,10.0,70 亿
严俊波,,,0.0,70 亿
杨廷栋,20.0,19.0,-5.0,70 亿
杨钊家族,15.0,13.0,3.0,70 亿
姚其湧,,,,70 亿
张开元家族,-4.0,10.0,-25.0,70 亿
张利钿家族,5.0,5.0,5.0,70 亿
张玉祥、朱雪莲夫妇,,18.0,0.0,70 亿
赵曰岭家族,16.0,8.0,3.0,70 亿
陈保华,10.0,0.0,15.0,70 亿
谢子龙、陈秀兰夫妇,13.0,20.0,25.0,70 亿
